"pageviews","shares"
5179,573
9075,565
4440,119
3621,159
4089,247
12360,825
1912,97
4508,126
5490,116
942,250
9843,685
2825,259
3760,209
10178,192
6018,316
4672,142
8088,273
12998,330
2401,73
6230,200
588,9
9775,252
3791,129
8622,280
3113,154
9789,382
5046,308
3151,110
2180,68
6681,332
4984,241
2369,31
3525,111
1624,85
2344,215
2016,85
3294,123
14703,437
4034,251
2859,108
6368,390
2524,377
9322,307
1798,135
1932,31
4891,151
1279,25
5516,319
1497,175
8299,318
4318,163
5033,254
5077,97
5101,221
9327,249
3197,50
7068,163
6101,434
4653,201
4176,297
6087,253
0,170
4735,223
3785,297
5678,93
7126,289
5294,134
2290,63
4758,77
2332,214
2056,298
2234,39
2147,185
13789,490
4751,248
5421,199
2849,96
9024,127
6541,151
0,105
2799,261
18321,263
4221,132
33163,1094
5479,118
2858,72
12569,812
1956,80
2256,270
2350,68
1670,58
4641,102
4581,191
6775,179
10699,178
7664,151
2462,57
6088,213
4032,124
9836,282
0,113
8011,143
3124,649
6256,167
2036,33
1680,36
12805,195
13043,163
4493,370
18759,319
0,31
2457,130
1415,57
8793,163
1795,34
3291,112
4261,135
3047,76
3239,105
5246,221
1658,58
2559,68
1612,94
3312,255
1491,85
4160,64
3384,86
2316,84
10010,443
123039,6110
3056,92
7054,828
3144,82
3428,134
5702,83
1915,51
5311,500
4766,193
11609,1194
3850,68
1744,86
4259,57
4476,117
1670,73
2929,64
6323,178
2357,80
1990,137
2469,107
2767,84
28013,1886
1309,112
4450,1052
1233,45
55,1
3411,88
6597,270
1277,527
3319,196
5246,146
5844,159
12530,426
1647,139
2493,95
4272,389
3207,47
6838,271
5737,348
3403,262
8905,437
7717,1318
5237,253
3730,377
11292,238
6533,131
3374,69
3035,298
2123,58
3167,87
2981,127
4256,102
1978,40
1489,38
38263,1507
953,76
3108,167
1936,82
3107,89
3017,67
3469,423
5235,446
2881,113
3306,329
6048,197
2293,49
2469,121
0,0
2580,140
5652,818
2655,187
8597,2089
6034,263
2737,374
5517,152
3666,251
1756,19
2154,438
1908,29
1980,91
4329,102
1511,144
1561,48
4011,453
865,59
12546,622
984,13
6627,184
0,122
876,54
5409,284
3091,86
0,0
3410,860
1386,59
1888,313
4438,297
5103,127
1925,64
3672,140
6437,69
3843,57
9158,539
2135,179
3798,83
1513,62
0,0
7276,178
4542,139
3687,109
4965,1108
1764,216
5800,324
2568,153
5706,342
6867,689
2102,43
4107,98
5107,800
4331,114
2296,51
1377,74
2001,78
3681,225
2050,138
0,0
9951,532
4373,589
864,245
5140,62
0,0
3348,117
12206,456
3208,111
0,1
2171,201
0,0
7310,431
4164,190
4045,150
4224,77
3793,728
8079,234
11470,490
0,0
31456,5200
3884,1189
7717,245
7304,589
2170,94
5113,241
5463,127
1381,51
1312,57
2177,394
0,0
7221,408
0,0
15542,647
2988,247
0,67
0,0
2907,82
2456,66
1181,40
1666,289
1725,88
3327,178
0,0
3095,159
6431,300
3363,33
5150,148
0,220
16392,2386
4663,205
8263,194
1937,144
0,0
7765,287
2424,261
2636,50
6727,285
1568,91
2155,548
2077,287
10538,644
2023,219
3685,103
1131,113
0,0
3440,275
1257,40
3149,107
14514,938
2268,127
2619,52
674,22
3810,35
5215,418
2534,296
0,0
1199,31
17126,604
3546,96
6386,198
1379,100
4855,165
0,0
5705,59
0,120
3959,224
1643,100
4353,184
3445,41
4519,172
4884,200
1710,204
2736,56
11990,936
3692,278
1557,33
778,61
0,9
8701,427
3640,115
3256,48
2379,164
3707,124
0,2
1623,116
1712,189
743,23
4577,615
7719,1571
512,44
2150,84
11528,1299
410,30
0,0
3610,85
757,24
2111,56
3750,126
1267,69
0,0
2640,67
1744,195
0,0
2384,78
0,0
3601,443
2371,60
0,303
13683,677
2448,86
5243,524
3159,152
6922,539
1011,49
0,11
0,2
1949,70
1644,36
1958,126
6120,251
755,32
0,0
1724,59
5029,218
1398,28
2577,178
5255,237
2054,0
2087,145
687,27
2293,228
13566,924
3408,122
2851,231
7278,254
1367,49
4731,807
0,3
2726,190
12866,515
766,27
599,34
38777,1187
6894,271
4587,263
2067,153
3847,115
4187,138
864,24
2758,304
4785,1381
2357,89
1379,120
533,22
820,196
7601,2614
9799,1077
5327,372
7453,619
10022,503
2215,147
3406,674
1547,55
845,9
0,0
774,132
1512,76
7290,312
2356,39
0,0
0,130
3494,65
6550,481
1267,40
10793,868
26433,708
1031,232
10409,864
5588,149
4487,998
943,68
2779,119
242,15
5712,547
13178,697
5349,42
2858,115
5432,67
6452,561
4932,402
2179,1
1967,146
2702,55
5123,244
10967,330
0,0
1638,60
0,12
2487,52
3015,167
2962,226
39381,1819
2544,119
3297,173
6954,635
3848,94
2604,104
8562,260
4228,107
3877,67
3008,45
2180,97
12384,309
4020,641
3701,169
154,5
5720,47
5495,317
2640,206
2739,276
10482,1542
7594,216
2090,144
3729,79
8210,425
14554,737
1587,219
9051,131
4364,111
1854,126
1402,219
5190,200
4683,205
2680,234
3931,199
8757,2342
