"date","pageviews"
2015-02-16 19:00:00,5934
2015-02-17 19:00:00,7557
2015-02-18 19:00:00,3469
2015-02-19 19:00:00,3128
2015-02-20 19:00:00,1367
2015-02-21 19:00:00,1274
2015-02-22 19:00:00,1766
2015-02-23 19:00:00,2179
2015-02-24 19:00:00,1792
2015-02-25 19:00:00,1441
2015-02-26 19:00:00,797
2015-02-27 19:00:00,479
2015-02-28 19:00:00,337
2015-03-01 19:00:00,682
2015-03-02 19:00:00,796
2015-03-03 19:00:00,578
2015-03-04 19:00:00,461
2015-03-05 19:00:00,635
2015-03-06 19:00:00,442
2015-03-07 19:00:00,368
2015-03-08 19:00:00,834
2015-03-09 19:00:00,1635
2015-03-10 19:00:00,2321
2015-03-11 19:00:00,4357
2015-03-12 19:00:00,2788
2015-03-13 19:00:00,1793
2015-03-14 19:00:00,1295
2015-03-15 19:00:00,2725
2015-03-16 19:00:00,2084
2015-03-17 19:00:00,1406
2015-03-18 19:00:00,2350
2015-03-19 19:00:00,2777
2015-03-20 19:00:00,885
2015-03-21 19:00:00,775
2015-03-22 19:00:00,1050
2015-03-23 19:00:00,1947
2015-03-24 19:00:00,1187
2015-03-25 19:00:00,1313
2015-03-26 19:00:00,1378
2015-03-27 19:00:00,635
2015-03-28 19:00:00,549
2015-03-29 19:00:00,1596
2015-03-30 19:00:00,1030
2015-03-31 19:00:00,1535
2015-04-01 19:00:00,590
2015-04-02 19:00:00,653
2015-04-03 19:00:00,612
2015-04-04 19:00:00,804
2015-04-05 19:00:00,2435
2015-04-06 19:00:00,4379
2015-04-07 19:00:00,3502
2015-04-08 19:00:00,2534
2015-04-09 19:00:00,1499
2015-04-10 19:00:00,686
2015-04-11 19:00:00,774
2015-04-12 19:00:00,1578
2015-04-13 19:00:00,2022
2015-04-14 19:00:00,1643
2015-04-15 19:00:00,2006
2015-04-16 19:00:00,1738
2015-04-17 19:00:00,721
2015-04-18 19:00:00,817
2015-04-19 19:00:00,1525
2015-04-20 19:00:00,1986
2015-04-21 19:00:00,2488
2015-04-22 19:00:00,2574
2015-04-23 19:00:00,2207
2015-04-24 19:00:00,1276
2015-04-25 19:00:00,1880
2015-04-26 19:00:00,1969
2015-04-27 19:00:00,2442
2015-04-28 19:00:00,2357
2015-04-29 19:00:00,2580
2015-04-30 19:00:00,1401
2015-05-01 19:00:00,1034
2015-05-02 19:00:00,1336
2015-05-03 19:00:00,4074
2015-05-04 19:00:00,3254
2015-05-05 19:00:00,2792
2015-05-06 19:00:00,2412
2015-05-07 19:00:00,2372
2015-05-08 19:00:00,1610
2015-05-09 19:00:00,1516
2015-05-10 19:00:00,2843
2015-05-11 19:00:00,3317
2015-05-12 19:00:00,2596
2015-05-13 19:00:00,2306
2015-05-14 19:00:00,3487
2015-05-15 19:00:00,1764
2015-05-16 19:00:00,1580
2015-05-17 19:00:00,1858
2015-05-18 19:00:00,3593
2015-05-19 19:00:00,3103
2015-05-20 19:00:00,2600
2015-05-21 19:00:00,2069
2015-05-22 19:00:00,2817
2015-05-23 19:00:00,2728
2015-05-24 19:00:00,2639
2015-05-25 19:00:00,2143
2015-05-26 19:00:00,1608
2015-05-27 19:00:00,1804
2015-05-28 19:00:00,1858
2015-05-29 19:00:00,1047
2015-05-30 19:00:00,963
2015-05-31 19:00:00,1955
2015-06-01 19:00:00,2352
2015-06-02 19:00:00,1823
2015-06-03 19:00:00,2111
2015-06-04 19:00:00,1865
2015-06-05 19:00:00,1059
2015-06-06 19:00:00,935
2015-06-07 19:00:00,1254
2015-06-08 19:00:00,1819
2015-06-09 19:00:00,2001
2015-06-10 19:00:00,2118
2015-06-11 19:00:00,1897
2015-06-12 19:00:00,1080
2015-06-13 19:00:00,1250
2015-06-14 19:00:00,1144
2015-06-15 19:00:00,1665
2015-06-16 19:00:00,2064
2015-06-17 19:00:00,1740
2015-06-18 19:00:00,1702
2015-06-19 19:00:00,935
2015-06-20 19:00:00,916
2015-06-21 19:00:00,1962
2015-06-22 19:00:00,2300
2015-06-23 19:00:00,2791
2015-06-24 19:00:00,2655
2015-06-25 19:00:00,1751
2015-06-26 19:00:00,1053
2015-06-27 19:00:00,946
2015-06-28 19:00:00,800
2015-06-29 19:00:00,1474
2015-06-30 19:00:00,2073
2015-07-01 19:00:00,2280
2015-07-02 19:00:00,1841
2015-07-03 19:00:00,954
2015-07-04 19:00:00,1705
2015-07-05 19:00:00,3609
2015-07-06 19:00:00,2701
2015-07-07 19:00:00,1979
2015-07-08 19:00:00,2365
2015-07-09 19:00:00,3089
2015-07-10 19:00:00,1367
2015-07-11 19:00:00,1454
2015-07-12 19:00:00,3029
2015-07-13 19:00:00,3208
2015-07-14 19:00:00,2901
2015-07-15 19:00:00,2885
2015-07-16 19:00:00,2166
2015-07-17 19:00:00,1238
2015-07-18 19:00:00,1436
2015-07-19 19:00:00,1266
2015-07-20 19:00:00,2900
2015-07-21 19:00:00,2371
2015-07-22 19:00:00,2221
2015-07-23 19:00:00,1986
2015-07-24 19:00:00,1305
2015-07-25 19:00:00,1997
2015-07-26 19:00:00,2420
